pname,y,210_AGC1,211_AGC2,212_ADC,213_EC,y_true,y_pred
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36730_37754_y_33633_34657_dim_1024_rand_3.jpg,3,1.0,9.061481766294201e-23,6.507182011548272e-36,4.271480281268295e-17,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36773_37797_y_33681_34705_dim_1024_rand_5.jpg,3,1.0,9.36045012865822e-20,1.2732569622118139e-28,3.726738084797177e-10,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36810_37418_y_33685_34293_dim_608_rand_3.jpg,3,1.0,8.953329279500666e-20,6.905397482867371e-32,3.4897039566454376e-15,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36837_38373_y_33685_35221_dim_1536_rand_4.jpg,3,0.8414123058319092,2.438682311645124e-10,1.422809861194221e-14,0.15858769416809082,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36840_37608_y_33629_34397_dim_768_rand_1.jpg,3,1.0,3.701260898827535e-23,0.0,4.034379163374542e-21,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36862_37470_y_33639_34247_dim_608_rand_2.jpg,3,1.0,7.029817205463074e-23,0.0,3.4315642648035785e-24,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36965_37264_y_33627_33926_dim_299_rand_1.jpg,3,1.0,2.1780957571403132e-13,0.0,5.6972685077462e-29,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_36980_37279_y_33680_33979_dim_299_rand_4.jpg,3,1.0,1.9159915082452014e-13,5.149304137781291e-32,6.442872568047967e-18,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_37006_37305_y_33642_33941_dim_299_rand_2.jpg,3,1.0,4.1117922955358216e-10,8.079661972725112e-33,4.9996343955179256e-20,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_37101_37709_y_33400_34008_dim_608_rand_4.jpg,3,1.0,1.6638943524187585e-19,4.6239391142316764e-36,2.996861020943806e-21,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_37104_38640_y_32833_34369_dim_1536_rand_2.jpg,3,1.0,3.379118880761612e-19,1.8329296461750372e-29,5.170750438064642e-13,213_EC,210_AGC1
/home/tsimage/Documents/algorithm/arrange_patches_12_Glandular/test/213_EC/2017-10-09-17_39_21_x_37109_37877_y_33397_34165_dim_768_rand_2.jpg,3,1.0,6.267702037587902e-25,0.0,2.4892936266758916e-22,213_EC,210_AGC1
